x0,x1,x2,x3,x4,x5,x6,x7,z,adverse_risk,label
0,-2,1,0,-3,1,-1,-8,-873,0,0
-1,-2,0,-1,-1,1,-1,-8,-921,0,0
-1,-2,0,-1,-2,2,-1,-8,-1042,0,0
0,-2,0,-1,-1,2,-1,-8,-1031,0,0
-1,-2,1,-1,-2,2,-1,-8,-1028,0,0
0,-2,0,-1,-1,2,-1,-8,-1031,0,0
0,-2,1,-1,-4,2,-1,-8,-1038,0,0
1,-2,0,-1,-1,2,-1,-8,-1027,0,0
1,-2,0,-1,-2,2,-1,-8,-1034,0,0
2,-2,0,-1,0,2,-1,-8,-1016,0,0
3,-2,0,0,1,2,-1,-8,-961,0,0
3,-2,0,-1,-2,2,-1,-8,-1026,0,0
3,-2,0,0,1,2,-1,-8,-961,0,0
3,-2,0,-1,-1,2,-1,-8,-1019,0,0
3,-2,0,-1,-4,1,1,-8,-874,0,0
2,-2,0,-1,-1,1,1,-8,-857,0,0
3,-2,0,-1,-4,1,1,-8,-874,0,0
2,-2,0,-1,-3,1,1,-8,-871,0,0
1,-2,0,-1,0,1,1,-8,-854,0,0
2,-2,0,-1,0,1,1,-8,-850,0,0
2,-2,0,-1,-2,1,1,-8,-864,0,0
2,-2,0,-1,-3,1,1,-8,-871,0,0
3,-2,0,-1,-1,1,1,-8,-853,0,0
2,-2,0,-1,-1,1,1,-8,-857,0,0
3,-2,0,0,-2,1,1,-8,-816,0,0
3,-2,0,0,0,1,1,-8,-802,0,0
4,-2,0,-1,-2,1,1,-8,-856,0,0
4,-2,0,-1,1,1,1,-8,-835,0,0
3,-2,-1,-1,0,1,1,-8,-860,0,0
2,-2,-1,-1,-2,2,1,-8,-992,0,0
1,-2,-1,-1,0,2,1,-8,-982,0,0
2,-2,-1,0,-1,2,1,-8,-941,0,0
2,-2,-1,-1,-1,2,1,-8,-985,0,0
3,-2,-1,-1,1,2,1,-8,-967,0,0
4,-2,-1,-1,-2,2,1,-8,-984,0,0
4,-2,-1,-1,-1,2,1,-8,-977,0,0
4,-2,-1,-1,-1,2,1,-8,-977,0,0
5,-2,-1,-1,-3,2,1,-8,-987,0,0
4,-2,-1,-1,0,2,1,-8,-970,0,0
5,-2,-1,0,-2,2,1,-8,-936,0,0
4,-2,-1,-1,-1,2,1,-8,-977,0,0
5,-2,-1,-1,0,2,1,-8,-966,0,0
6,-2,-1,-1,1,2,1,-8,-955,0,0
6,-2,-1,-1,-1,2,1,-8,-969,0,0
7,-2,-1,-1,-1,2,1,-8,-965,0,0
0,-2,-2,-1,-2,1,-1,-8,-952,0,0
1,-2,-2,-1,-1,1,-1,-8,-941,0,0
1,-2,-2,-1,-3,1,-1,-8,-955,0,0
0,-2,-2,-1,-2,1,-1,-8,-952,0,0
1,-2,-2,-1,-2,1,-1,-8,-948,0,0
2,-2,-2,-1,0,1,-1,-8,-930,0,0
3,-2,-2,-1,-1,2,-1,-8,-1047,0,0
3,-2,-2,-1,-1,2,-1,-8,-1047,0,0
4,-2,-2,-1,-4,2,-1,-8,-1064,0,0
3,-2,-3,-1,2,2,-1,-8,-1040,0,0
3,-2,-3,-1,-4,2,-1,-8,-1082,0,0
4,-2,-3,-1,1,2,-1,-8,-1043,0,0
3,-2,-3,-1,-2,2,-1,-8,-1068,0,0
3,-2,-3,-1,-1,2,-1,-8,-1061,0,0
2,-2,-3,-1,-3,2,-1,-8,-1079,0,0
2,-2,-3,-1,-4,2,-1,-8,-1086,0,0
3,-2,-3,-1,-1,2,-1,-8,-1061,0,0
2,-2,-3,-1,-1,2,-1,-8,-1065,0,0
1,-2,-4,-1,-1,2,-1,-8,-1083,0,0
1,-2,-4,-1,-2,2,-1,-8,-1090,0,0
0,-2,-4,-1,-1,2,-1,-8,-1087,0,0
1,-2,-4,-1,-2,2,-1,-8,-1090,0,0
0,-2,-4,-1,-2,2,-1,-8,-1094,0,0
0,-2,-4,-1,0,2,-1,-8,-1080,0,0
1,-2,-4,0,-2,2,-1,-8,-1046,0,0
0,-2,-4,-1,-4,2,-1,-8,-1108,0,0
0,-2,-4,-1,-3,2,-1,-8,-1101,0,0
1,-2,-4,-1,-1,2,-1,-8,-1083,0,0
1,-2,-4,-1,2,2,-1,-8,-1062,0,0
1,-2,-4,-1,-2,2,-1,-8,-1090,0,0
-2,-2,-3,-1,-3,2,1,-8,-1043,0,0
